playerID,yearID,stint,Glf,Gcf,Grf
scalebo01,2012,1,29,,32
taylobo01,1973,1,62,5,6
taylobo01,1974,1,1,11,114
taylobo01,1975,1,1,2,118
tolanbo01,1978,1,,79,
willibe01,1975,1,33,3,83
willibe01,1976,1,,1,125
willibe01,1977,1,,,115
willibe01,1978,1,,,111
willibe01,1979,1,,,91
willibe01,1980,1,,,98
busujsh01,1954,1,45,3,18
busujsh01,1955,1,17,64,51
busujsh01,1956,1,,148,
busujsh01,1957,1,,2,123
busujsh01,1958,1,,,115
busujsh01,1959,1,,,82
busujsh01,1960,1,,,110
busujsh01,1961,1,,2,137
busujsh01,1962,1,,3,128
busujsh01,1963,1,,8,55
busujsh01,1964,1,18,19,110
busujsh01,1965,1,,105,7
busujsh01,1966,1,,55,62
busujsh01,1967,1,,19,88
busujsh01,1968,1,,61,36
busujsh01,1969,1,,2,82
busujsh01,1970,1,,,53
busujsh01,1971,1,,,1
buumawo01,1984,1,1,,1
arnolch01,1978,1,1,,3
arnolch01,1979,1,,,6
aguilch01,2009,1,8,1,5
allench01,2007,1,13,,59
bolesca01,1966,1,,112,7
bolesca01,1967,1,,114,
bolesca01,1968,1,2,55,1
bolesca01,1969,1,76,27,1
bolesca01,1970,1,90,,
brumbcl01,2005,1,12,,31
brumbcl01,2006,1,,,19
brazecr01,2012,1,2,,
brockch01,2003,1,,,1
hoodch01,1953,1,10,,
huffmch01,2014,1,44,,4
huffmch01,2015,1,3,,
chakke01,1964,1,36,,51
chanoto01,2023,1,11,1,71
chanoto01,2024,1,1,4,8
chanoto01,2025,1,1,,1
chenwe01,2009,1,,,1
chenwe02,2003,1,1,,
chibash01,1938,1,5,,
chibash01,1939,1,15,11,
chibash01,1941,1,2,2,1
chihama01,1954,1,1,,
chihayo01,1967,1,,,16
chihayo01,1971,1,,,1
chikako01,2019,1,1,136,
chikako01,2019,2,,1,
chikako01,2020,1,,114,
chikako01,2021,1,,140,
chikako01,2021,2,,1,
chikako01,2022,1,,132,
chikako01,2022,2,1,,
chikako01,2023,1,,125,
chikako01,2024,1,,140,
chikako01,2024,2,,1,
chikako01,2025,1,,138,
chikako01,2025,2,,1,
chonats01,1964,1,1,,16
chonats01,1966,1,,,2
chonohi01,2010,1,4,50,55
chonohi01,2011,1,,118,21
chonohi01,2011,2,,,2
chonohi01,2012,1,,89,53
chonohi01,2012,2,,2,
chonohi01,2013,1,,82,60
chonohi01,2013,2,,1,1
chonohi01,2014,1,,53,71
chonohi01,2015,1,,32,77
chonohi01,2016,1,,15,125
chonohi01,2017,1,,8,116
chonohi01,2018,1,,36,62
chonohi01,2019,1,27,7,4
chonohi01,2020,1,45,16,1
chonohi01,2021,1,20,,2
chonohi01,2022,1,18,,5
chonohi01,2023,1,16,,17
chonohi01,2024,1,15,,1
chonohi01,2025,1,2,,
holtch01,2003,1,,,1
chouse01,1998,1,1,,
jonescl01,1973,1,16,,
jonescl01,1976,1,,3,
jonescl01,1977,1,,,1
manuech01,1976,1,,,75
manuech01,1977,1,,,96
manuech01,1978,1,,,124
manuech01,1979,1,,,1
manuech01,1981,1,2,1,70
marrech01,2017,1,,,3
martica01,1992,1,8,,
mayca01,1978,1,110,,1
mayca01,1979,1,102,,
mayca01,1980,1,113,,2
mayca01,1981,1,47,,
monteco01,2024,1,29,,
nymanch01,1984,1,,,1
pegueca01,2016,1,22,,19
pegueca01,2017,1,,,84
pegueca01,2018,1,,,82
ponceca01,1986,1,26,,
ponceca01,1987,1,17,,110
ponceca01,1988,1,,2,125
ponceca01,1989,1,,,130
ponceca01,1990,1,13,,1
paulco01,1999,1,27,,1
paulco01,2000,1,20,,2
ryancr01,1981,1,3,,16
wrighcl01,1976,1,,1,
lambich01,2009,1,,4,4
lathach01,2003,1,6,15,10
smithch01,1984,1,,,41
smithch01,1985,1,,,9
spikech01,1981,1,5,,8
spangco01,2020,1,72,,2
spangco01,2021,1,21,,4
thomaco01,2024,1,,,2
daigoto01,1966,1,,,2
